review_id,product_id,customer_id,rating,title,comment,is_verified_purchase,helpful_votes,created_at
1,5,4,5,No tan bueno,Llegó a tiempo y en perfecto estado.,true,33,2025-10-18
2,3,31,3,Podría mejorar,Llegó a tiempo y en perfecto estado.,true,26,2023-09-12
3,13,2,4,Satisfecho,Bueno pero esperaba un poco más.,true,32,2023-07-25
4,15,11,1,Cumple expectativas,Muy buena calidad por el precio.,true,47,2023-04-13
5,7,25,1,Muy bueno,Llegó a tiempo y en perfecto estado.,false,12,2025-07-08
6,15,5,3,Buena calidad,"Superó mis expectativas, lo recomiendo totalmente.",false,4,2025-03-07
7,1,32,2,Buena calidad,"Superó mis expectativas, lo recomiendo totalmente.",false,38,2025-08-17
8,3,20,1,Satisfecho,El producto es correcto pero la entrega tardó.,true,33,2024-09-18
9,3,1,3,Podría mejorar,No cumplió mis expectativas.,true,30,2024-08-05
10,11,19,1,Cumple expectativas,El producto es correcto pero la entrega tardó.,false,25,2023-08-13
11,2,19,1,Cumple expectativas,"Superó mis expectativas, lo recomiendo totalmente.",false,47,2025-01-23
12,13,1,4,Recomendado,Excelente relación calidad-precio.,true,50,2023-05-19
13,12,34,3,Excelente producto,"Superó mis expectativas, lo recomiendo totalmente.",true,12,2025-06-15
14,9,25,3,Muy bueno,Bueno pero esperaba un poco más.,true,24,2024-05-21
15,15,28,3,Muy bueno,Llegó a tiempo y en perfecto estado.,true,8,2024-08-28
16,12,12,5,Recomendado,Cumple con lo prometido.,false,33,2023-04-14
17,12,31,2,Muy bueno,"Superó mis expectativas, lo recomiendo totalmente.",false,24,2023-06-02
18,1,13,2,Buena calidad,Bueno pero esperaba un poco más.,false,7,2023-06-28
19,17,15,3,Buena calidad,Cumple con lo prometido.,false,30,2024-12-06
20,13,4,1,Muy bueno,Llegó a tiempo y en perfecto estado.,true,50,2024-03-03
21,10,5,4,Muy bueno,El producto es correcto pero la entrega tardó.,false,18,2024-11-11
22,4,16,3,No tan bueno,Muy buena calidad por el precio.,false,38,2023-06-12
23,19,27,2,Buena calidad,Llegó a tiempo y en perfecto estado.,true,27,2025-08-08
24,12,30,3,Podría mejorar,Llegó a tiempo y en perfecto estado.,true,4,2024-12-10
25,10,15,5,No tan bueno,"Superó mis expectativas, lo recomiendo totalmente.",false,14,2025-10-01
26,9,29,2,Satisfecho,Muy buena calidad por el precio.,true,17,2025-11-13
27,18,7,1,Muy bueno,Llegó a tiempo y en perfecto estado.,true,8,2025-11-11
28,18,3,1,Cumple expectativas,No cumplió mis expectativas.,true,17,2025-07-21
29,12,3,5,No tan bueno,Excelente relación calidad-precio.,true,24,2024-03-05
30,15,19,3,Excelente producto,El producto es correcto pero la entrega tardó.,true,39,2023-04-24
31,5,14,3,Excelente producto,Cumple con lo prometido.,true,44,2024-02-29
32,8,24,1,Podría mejorar,Cumple con lo prometido.,true,35,2025-09-25
33,18,20,4,Buena calidad,El producto es correcto pero la entrega tardó.,true,2,2025-08-08
34,18,10,3,Muy bueno,"Superó mis expectativas, lo recomiendo totalmente.",false,48,2025-07-17
35,9,3,4,No tan bueno,El producto es correcto pero la entrega tardó.,true,23,2025-11-26
36,5,2,4,Satisfecho,"Superó mis expectativas, lo recomiendo totalmente.",true,13,2023-06-28
37,9,30,1,Satisfecho,Excelente relación calidad-precio.,false,45,2025-06-05
38,7,24,4,Cumple expectativas,El producto es correcto pero la entrega tardó.,true,26,2024-01-14
39,2,25,3,Satisfecho,"Superó mis expectativas, lo recomiendo totalmente.",true,29,2025-12-15
40,17,10,3,Buena calidad,No cumplió mis expectativas.,true,45,2026-01-16
41,6,33,4,Satisfecho,Llegó a tiempo y en perfecto estado.,true,18,2024-02-21
42,11,11,1,Satisfecho,No cumplió mis expectativas.,true,27,2023-02-13
43,1,19,4,Satisfecho,"Superó mis expectativas, lo recomiendo totalmente.",true,45,2025-06-29
44,3,7,4,Excelente producto,Bueno pero esperaba un poco más.,true,8,2023-09-02
45,5,24,1,No tan bueno,"Superó mis expectativas, lo recomiendo totalmente.",true,1,2023-09-12
46,1,6,1,Cumple expectativas,"Superó mis expectativas, lo recomiendo totalmente.",true,2,2023-02-11
47,3,3,5,No tan bueno,"Superó mis expectativas, lo recomiendo totalmente.",true,27,2023-04-04
